Author,Date,Comment
Jtsummers,"on Aug 3, 2019","This article makes a common mistake: Scrum and Agile are not synonymous. Given that error, the conclusion is nonsense. And besides, even Scrum doesn’t require a delivered product each sprint. Just an updated status and increment completed.If I’m building a new server and client architected system, the early sprints may be getting certain design details down. More documentation than code. Later on, I may have sprints that only establish the handshake between client and server and no real functionality. The point is taking milestones (big chunks of work) down to smaller chunks of work that can establish a clearer goal set for the near future.And that isn’t even unique to Scrum. If you don’t establish small iterative goals it becomes difficult to measure progress. Saying, “We can’t measure success until this large number of lines of code are completed” is folly. If you have that design, you can measure your progress towards completion by creating inch-pebbles for the next few iterations. Like in my example, finalize design docs based on R&D efforts, make prototypes or simulations, create basic handshake code, then build up server and client features in tandem to ensure they make sense (maybe the design can be simplified when you realize several commands or messages are really specialized versions of a more generic one, or maybe something is more complex and requires a reexamination of the design). And yes, a lot of this is common sense to good engineers. Problem is, common sense isn’t common and you’ll get people pushing Waterfall again and again."
jogjayr,"on Aug 3, 2019","> This article makes a common mistake: Scrum and Agile are not synonymousIt does not. It merely acknowledges that Scrum is the most popular and widely practiced incarnation of Agile and is what most developers are familiar with.From the article: ""The simple high level Agile Manifesto is something I think is close to the way Google engineers think about software development...Google development style exemplifies the type of individual empowerment talked about in the principles.""And: ""While the high level Agile Manifesto is flexible enough to work with these principles, these are very different than the short-iteration low documentation Agile/Scrum process which has become synonymous with the word Agile."""
lanstin,"on Aug 3, 2019","When you are at the edge of technology a lot of the initial tasks are the smart people go off and think for a few weeks or months.  Talking amongst themselves but not necessarily producing visible things. Just updating their mental state as they search solution space for the best achievable answer.   Now, I have worked in a place where that time was accounted for and allowed, but most places the value of it seems lost on management."
temac,"on Aug 3, 2019","If you redefine ""agile"" as common sense and what currently works for you, and ""waterfall"" as failure, then obviously every good thing will be ""agile"", and wrong stuff will be ""waterfall"".Can we do anything with that though?"
iovrthoughtthis,"on Aug 3, 2019","Also, if you can’t get a thing done in one sprint then perhaps your sprint is too short?The point is to adapt the process to the teams needs, not to dogmatically follow some other teams process."
mmcnl,"on Aug 3, 2019","I feel like people who are opposed to agile and scrum often make out things of it that are in no way prescribed by these methodologies. For example, I see people mentioning the idea that with scrum, you should release working software every sprint. This is not the case. The idea is to deliver a _potentially_ shippable product increment - a.k.a. not building 10 bridges in parallel if there's no need for it. Some might even call this common sense.Most people who are pessimistic about the agile development who I have spoken to are usually pessimistic because of poor implementations they've encountered. Any methodology is awful when misused or when hidden agendas are at play. No methodology will ever solve that.That being said (probably onpopular opinion), I often also see engineers use agile to blame everything that is going wrong onto ""management"" and use it as way of avoiding responsibility. Complaining and arguing as if there are only absolutes is an immature and unproductive attitude. Calling agile ""nonsense"" is a prime example of that."
theworld572,"on Aug 3, 2019","My biggest criticism of Agile and Scrum is that it assumes that you can just plan out how a feature will work by sitting in a meeting and talking about it. Then spend the next two weeks implementing that plan. Software development almost never works out so neatly.What really happens is that you have a set of requirements and an idea of how you are going to implement the feature. You start working on it, maybe you discover that there is a whole area of code that needs updating in order to allow for your feature to be implemented. This adds on another week of work required.In a common-sense based development team, what usually happens is the developer has a quick work with the project manager and maybe other devs who need to be involved and says ""Hey, I've found out that we need another week to complete this feature because X needs refactoring, do you still want me to continue with this?"" then the PM either says ""Yes this feature is important, even if it will take another week"" or ""No, the feature is not important enough to be worth spending another week on"". Its really not rocket science.In SCRUM what usually happens is the SCRUM master will tell you that the rules say that we have already committed to a set amount of work this sprint and that extra week of work falls outside the scope so we should create another card for the extra work and consider this card blocked.The whole idea of having a rule for what to do in that situation just seems absolutely crazy. Just do whatever makes sense! Its really not that difficult."
empath75,"on Aug 3, 2019","> My biggest criticism of Agile and Scrum is that it assumes that you can just plan out how a feature will work by sitting in a meeting and talking about it. Then spend the next two weeks implementing that plan.They don’t, there are ‘spikes’ that are just time spent researching or exploring or designing rather than implementing.If your scrum master is telling the team what they can’t or can’t do, or how they should do their jobs, they are doing it wrong. Their job is to help you plan and help you resolve impediments to your work. They aren’t your boss.The first thing in the manifesto is people over process, there should never be a case where some rule tells you that you can’t do the right thing.Formal Scrum is a nice way to organize ‘normal’ work, but there are lots of cases where you have to improvise, and the process should never get in the way of that."
GordonS,"on Aug 4, 2019","> If your scrum master is telling the team what they can’t or can’t do, or how they should do their jobs, they are doing it wrongUnfortunately in my experience this does happen quite often. I've found the biggest issue with scrum is when people (usually the scrum master and PM) take hard-line, dogmatic views of scrum processes."
profalseidol,"on Aug 12, 2019","There's this course in pluralsight that talks about two orgs that promote scrum. The other one seems to be giving out the wrong ideas. I think it's this one (copied from wikipedia):    In 2002, Schwaber with others founded the Scrum 
    Alliance[18] and set up the Certified Scrum accreditation 
    series. Schwaber left the Scrum Alliance in late 2009 and 
    founded Scrum.org which oversees the parallel Professional 
    Scrum accreditation series.[19]

I think it was Scrum Alliance that's giving out ideas like Burndown chart is required in scrum."
Tharkun,"on Aug 3, 2019","> My biggest criticism of Agile and Scrum is that it assumes that you can just plan out how a feature will work by sitting in a meeting and talking about it.No, it doesn't. It wants the team to discuss features to help find preventable issues up front and to make it as clear as possible. The unknown unknowns remain unknown, which is why an estimate is an estimate, and a sprint is a best-effort attempt at getting a thing done. If and when it becomes clear that this feature is too complex, too big, or whatever, then it can be reestimated, or decomposed or reevaluated. It's supposed to be agile, not rigid and fragile."
theworld572,"on Aug 3, 2019","Whats the point of SCRUM then? If all it does is to tell you ""do what makes sense"" why do we even need it? Thats a rhetorical question, I already know the answer is that we need it in order to keep SCRUM consultants, certifications, training etc. a profitable business.Whether or not you think SCRUM is good or bad, you can't argue that a sizeable (if not the majority) amount of companies are ""not doing it right"" and that a sizeable (if not the majority) amount of developers loath working in SCRUM teams. So wouldn't we just be better off if the industry ditched SCRUM entirely?"
ben509,"on Aug 3, 2019","The ""do what makes sense"" is limited because you have to ask questions to ascertain what makes sense.Some questions are easy to answer, but many questions can only be answered by doing a thing that takes work. And Scrum gives you a framework that tries to put a limit on how much work goes by with no answers.So it uses a simple schedule.The team works for X weeks, working on implementing specific tasks. (Which in turn answer some questions.)Then the team stops, reviews their progress on the larger product, and adjusts plans accordingly. Now ""do what makes sense"" has demonstrably advanced."
mmcnl,"on Aug 3, 2019","Working is not vacation. Sticking to a process is a hygiene factor which doesn't necessarily has to be fun but it makes it possible for companies to be properly managed.That being said, stop complaining. If you can find room to complain, you surely can find room for improvement right? It might just be me, but everywhere I've worked I've never encountered a manager who isn't open to solid ideas for improvement."
theworld572,"on Aug 4, 2019","I never said I wanted software engineering to be fun. I have worked on 4 different teams that followed Scrum and all four of those teams suffered from the same problems - low productivity and poor management. The most entertaining was a recent place I worked where we had a certified Scrum master who had been ""trained"" by one of the two founders of Scrum, when I joined I told him about some of the bad experiences I've had with Scrum and he said ""yeah that annoys me, those teams are not really following scrum and so teams think that scrum is bad but really they are not doing it right"". Of course in the months to come I realised that we ended up with the same exact issues I saw in previous teams. In contrast theses problems were just non-existent in teams that did not follow a set methodology.Scrum is just not a good way to manage a team. I find Scrum to be a lot like religion - it means different things to different people but its evangelists always have a pre-prepared answer to every possible criticism, usually containing lots of jargon, buzzwords and double speak."
taneq,"on Aug 3, 2019","It's to keep everyone in the loop on what's happening in the codebase, and give people a time to ask for help on whatever's blocking them (so you hopefully get it sorted in a 10 second conversation instead of having to break their flow later to get help)."
SpicyLemonZest,"on Aug 3, 2019","In the traditional waterfall model, you don't do what makes sense. The Plan has been set, and you have to find a way to do even the parts that don't make sense, because it will be a huge disaster if The Plan isn't complete.Sometimes it's even the right development model! If you're building the control system for a new power plant, you'd better follow the agreed-on spec even if you realize it's not the best way to do things."
insertnickname,"on Aug 3, 2019","Scrum, not SCRUM. It's not an acronym."
Nomentatus,"on Aug 4, 2019","Unless you work for Scottish Club Rugby Union Magazine.
https://scrummagazine.com/"
theworld572,"on Aug 4, 2019",Good to know.
taneq,"on Aug 3, 2019","> What really happens is that you have a set of requirements and an idea of how you are going to implement the feature.The thing is, your story cards or whatever are meant to be a live document. You have the big meeting, the next day you realise that what you came up with doesn't work, you grab a coffee with your stakeholder and talk it through, come up with a new plan, and you change the card you're working on. Probably check with the tech lead first, but it's that flexible.> In SCRUM what usually happens is the SCRUM master will tell you that the rules say [...]This SCRUM thing sounds evil.> Just do whatever makes sense! Its really not that difficult.This is probably the best advice ever for any development team. Just do the thing!"
Tharkun,"on Aug 3, 2019","I think the OP is missing the point of scrum. The scrum master isn't supposed to tell you what the rules are. The rules are whatever the team decides they are. The scrum master is not the boss, they're supposed to be a facilitator..."
theworld572,"on Aug 3, 2019","That sounds like typical scrum-enthusiast double-speak to me!   :Dhttps://www.scrum.org/resources/what-is-scrum""This Guide contains the definition of Scrum. This definition consists of Scrum’s roles, events, artifacts, and the rules that bind them together.""Definitions, Rules, Roles, Artifacts etc. Sounds pretty authoritative to me. If it wasn't authoritative, how would you even know what SCRUM ""really"" is? You cannot say both that SCRUM  is not authoritative and lets you do what you want, and then also say ""you're not doing scrum correctly""."
empath75,"on Aug 3, 2019","All of the rules say the team is allowed to change anything that doesn’t work for them. Scrum is a set of suggestions for organizing a team, it’s not Moses coming down with tablets from on high."
mmcnl,"on Aug 3, 2019","Why not try to find a perspective that will make things easier for you? You can look at any suggestion and shoot it down for reasons X, Y and Z - that's easy. Try to invest some time in finding out what works for you and focus on that."
taneq,"on Aug 3, 2019","Exactly. It's meant to be collaborative, not authoritative."
tootie,"on Aug 3, 2019","You shouldn't actually ever change a story in progress if you can avoid it. The feature is the feature. How you build it doesn't go in the story. And if you aren't sure how to do it, you account for that in the estimate."
tootie,"on Aug 3, 2019",You never just write a story on the spot for a feature. It has to come out of completed design work that takes as long as it takes and ideally is funnelled through the same pipeline as you use for development.
zamadatix,"on Aug 3, 2019","The problem I've seen with agile is it's too easy to turn into ""as long as we complete something that was defined as value this sprint the problem isn't what this team is doing"" that many places end up having teams avoiding any large or external issues completely while reporting everything is going great.You may say it's not a methodologies fault when it's misused but I'd say it IS a methodologies fault if the feedback cycle on the misuse is easily hidden by the process.In the end I think for many places where agile is put in more value would be had putting that work into the business communication flow. If your biggest problem to solve is you don't know how to work on problems in smaller chunks + communicate when you've done something and that's what you need to reform you're probably doing pretty good and agile will be great. If you're implementing agile for another reason it probably won't fix that problem and agile will be blamed."
mmcnl,"on Aug 3, 2019","> teams avoiding any large or external issues completely while reporting everything is going greatThis is what happens all the time in big companies, agile or not."
zamadatix,"on Aug 4, 2019",Avoiding sure reporting not really. I mean sure anyone can purposefully not follow a methodology but that's not what I'm talking about here.
taneq,"on Aug 3, 2019","I think Agile has the same strength and weakness of any methodology: The people implementing it. If you have good people running and working on an Agile project it's going to go well. Those same people would do similarly well with waterfall, or just sitting in a dark room with a carton of Coke each.Where your methodology really matters is the how information flows between your dev team, the end users, and any other systems you need to interoperate with. Agile is great for providing development-as-a-service to a client who doesn't know what they want but will know it when they see it (eg. building enterprise software or web apps). Waterfall is great for providing known, fixed functionality (eg. building an ECU for an engine, or a back-end for a web bank)."
gilgoomesh,"on Aug 3, 2019","I think the answer badly misconstrues the purpose of ""short term planning"" and ""continuous integration"" as though these concepts preclude long proof-of-concept projects. The point of short delivery cycles is not to deliver a viable product to an external customer every two weeks. Rather it simply ensures that code remains in-sync with its intended use-case and guards against individuals going off on untracked tangents.Basically, developers who try to develop 10,000 lines of code on their own, without sharing it for a month, create massive risks and are an impediment to their team. Forcing regular code curation and sharing among the team makes the project stronger – that's what ""short term planning"" does."
Retric,"on Aug 3, 2019","Doing 1 month without integration is still fine.  When agile was conceived doing 6 sprints per year would have been considered agile in many fields.  The goal is to be able to be as responsive as reasonably possible not simply to add thousands of mostly meaningless milestones.It turns out that most projects can be broken down into absolutely tiny pieces, and that is generally a good idea.  However, the core idea is you need to adjust the methodology to the problem at hand and not the other way."
collyw,"on Aug 4, 2019",">It turns out that most projects can be broken down into absolutely tiny pieces, and that is generally a good idea.Generally I agree, but I have noticed in doing things like that, no one ever seems to bother about refactoring, or tidying things up at a higher level.Our designer complained about the CSS organization and spend a couple of days tidying it up. I have a feeling that breaking of tasks into small pieces takes away focus from more long term commitment to code organization and architectural patterns."
pizlonator,"on Aug 3, 2019","Some of the most beautiful code I’ve ever seen has come of an engineer going off for several months and coming back with a 1MB patch.That kind of time allows some actual deep thought to happen. Some kinds of outcomes won’t happen any other way. I agree with that point in the quora answer.This comes to mind as a recent example of an engineering project that had no incremental
alternative: https://webkit.org/blog/9329/a-new-bytecode-format-for-javas..."
InvOfSmallC,"on Aug 3, 2019",N/A
pizlonator,"on Aug 3, 2019",The point?  Read the article. It’s a big perf win.It’s important that it’s beautiful since the bytecode of a VM gets used so much throughout some of the VM’s most complex parts. Beautiful code is easier to use and maintain.
InvOfSmallC,"on Aug 4, 2019",I read the article. And I don't really think that we mean the same thing with beautiful code.
slim,"on Aug 3, 2019","also they don't seem to grasp the meaning of ""customer"" in the context of agile. if nobody ordered the software from you, the customer is you. so the project owner must be someone from the company. it can even be the scrum master assuming both roles"
Jedd,"on Aug 3, 2019","> I think the answer badly misconstrues the purpose of ""short term planning"" ...'short term planning' appears to be your construct, not found in TFA.Short term implies reactive / tactical -- not the planned / strategic level that TFA is talking about.It may well be that Agile 'precludes long proof-of-concept projects', given its essence is 'better ways of developing software', which clearly hides a wealth of complexity behind the heading of user-facing software."
pas,"on Aug 3, 2019","Agile (and XP) realised that it's a folly to plan in detail the next 5 years when likely the project, the circumstances, the business landscape, the team and even the technology will significantly shift in that timespan.This of course doesn't mean that if you have a very concrete goal and you need to do a trial and error iterative research and development project, there is of course no need to do ""agile"", because the goal is fix, the things you can try is probably largely predetermined, and you already know one of them will work adequately. (Or not, but then at least you might have some form of benchmark target in mind.)But even then, almost no endeavor starts in a vacuum, so it likely pays off to have some ability to quickly check progress (be it a CI system or just a testbed in the lab, or the aforementioned benchmark), and similarly other aspects of ""agile"", like try to break up the work and estimate it (think about it, its dependencies, its complexity, your competence for the particular work item, typical pitfalls), let the team know who works on what, interact with stakeholders from time to time, and so on."
S_A_P,"on Aug 3, 2019","I consider it nonsense because it becomes dogma at each organization. The problem with that is that they each have their own way of being “agile” and questioning the status quo is futile at best to politically charged at worst.Secondly, well meaning management often thinks that the reason they are having trouble delivering on time is because agile needs to be implemented. If the developers and business analysts don’t have deep understanding of the problem set then the project is at risk. All the agile in the world won’t fix that.Hiring developers is not easy, and finding those that can deliver is also tough. Agile doesn’t solve that.That said I do prefer an agile like approach to dev ops because it usually encourages teams to communicate and break work down into smaller pieces. When that happens system wide issues come to light much quicker than they would in a waterfall style delivery.As it relates to the quora question, I suspect that the person that asked the question is pretty new to development. Google is huge, there is probably a million different styles of dev ops happening there. Ok that was hyperbole, but steelframes comment is exactly right. Google isn’t a monolith and googlers aren’t all the same."
ChrisSD,"on Aug 3, 2019",> questioning the status quo is futile at best to politically charged at worst.Which is antithetical to the agile manifesto. The whole point of agile was to question the current methods and be agile enough to change them as needed.
dbattaglia,"on Aug 3, 2019","The most toxic example of Agile/Scrum I've come across so far has been in a company that was non-technical at its core but wanted badly to pivot to a SaaS business model.  The type of company that 50% of the employees have the word ""manager"" in their title yet manage no one (Digital Project Manager, Technical Project Manager, Product Manager, etc).  I think its just in a lot of companies culture that if they can instill some process, any process really, then the results will follow.  And software engineers complaining about the demoralizing effects of being micro-managed by junior coworkers who never wrote a line of code in their life are just typical spoiled tech workers.  Other companies I've worked for that used Agile methodology were not all that much better, just somewhat less absurd.  I'm glad I've gotten out of that world, its left such a bad taste in my mouth I don't know if I can even look at Agile objectively anymore."
jrochkind1,"on Aug 3, 2019","Both my best AND worse experiences with process have been 'agile'. (Although the best was NOT ""Scrum"").And not just because all of my experiences have been agile (they have not been).For agile to work well, you need a competent team and manager, AND be embedded in an organization (ie, who determines appraisal of your manager/team) which truly is concerned with prioritizing value to business/customer over, say, ""looking good to other managers"", or ""trying futilely to predict what the software will look like a year from now, because it makes me feel in control"" or ""weird power struggles with other parts of the organization"". Everyone (or at least the majority of those with the power to make you miserable or break your career) has to be really at least trying to work together to maximize business/customer value.If you have that, is your experience (and your software) going to be good whether you use agile or not? Probably. But agile is a really useful and effective mindset for making your software product _and_ your experience (stress-levels for instance) even better. It works, in my experience.If you don't have that, is your experience (and your software) going to be terrible using agile or not, in proportion to how much you don't have it? Sure. And agile and especially scrum can probably make it even worse."
jandrewrogers,"on Aug 3, 2019","Agile as implemented at almost all companies fails to account for the possibility of software with simple observable interfaces requiring extremely complex and intrinsically non-modular internal design. Most high-end platform infrastructure work looks like this if you are doing it correctly. As a consequence, it becomes difficult-to-impossible to do any kind of hardcore platform software engineering work in most organizations because their model for what successful agile software development should look like doesn't allow for it. There is no appetite for software development where there will be no visible progress for many months and demonstrable functionality is extremely backloaded.A related issue is software that cannot be meaningfully prototyped because any design that is reflective of the desired product has the same order of effort as the actual product, for many of the same reasons.There are certain kinds of high-value software that cannot be built inside most tech companies now because it pattern matches so poorly to the way people think ""agile"" software development should look like."
anonygler,"on Aug 3, 2019","At Google, there are too many complex systems and too many team dependencies to break tasks down into granular chunks, or to shoot from the hip in a pair programming session.Google runs on design docs. You define the problem, dependencies, risks, end state, etc, in a 20-page doc, and then you drive its development for 1-2 quarters. Google doesn’t do extreme programming, we do extreme ownership.I really prefer it to the time I spent working with Pivotal or Carbon5. They were great, but imo not a sustainable process for mature products. Agile is good for driving a new, greenfield MVP... and that’s about it."
hinkley,"on Aug 3, 2019","There’s a lot of power in refactoring, but I’ll allow that some of it is counterintuitive.  Anything counterintuitive requires state of mind and experience to line up and that’s quite hit or miss.When that awful Design Patterns book was off the hype train but the new devs had heard about it and asked if they should read it, I would tell them No, read Refactoring twice instead, because it tells you why and when to use this stuff, which is much more valuable.  Like feature work, if you know why you are doing something you can often reason out the gaps in the “what” on your own.We sort of take a bunch of XP processes as a given and forget that this was Agile for most people at the time of the manifesto. Scrum pretends it’s separate but is essentially useless without half of XP."
anonygler,"on Aug 3, 2019","Google does refactoring, but you’re expected to sell the idea, plan its roll out, and measure its impact... and then bring the codebase into a consistent state. I would rather things be consistently “wrong” than inconsistently right.You can assign work to teams to complete, but you must drive the effort and gain buy in. Otherwise it’s not actually worth refactoring."
erikpukinskis,"on Aug 3, 2019","I don't want to get into the specifics of what makes Scrum good or bad. But one thing I have noticed working in software is that 99% of people who talk about Scrum actually have not spent any real time learning it. Not the product people, not the managers, and not the engineers.Anyway, I don't want to get into the weeds, but if anyone is interested I just posted a gist of all my notes I took while reading every Scrum document I could find a few months ago: https://gist.github.com/erikpukinskis/a8a61b8fbd19f8063737f7...There's a lot to it, as a software engineer, learning more about it was actually pretty exciting for me because there are some good ideas in there for some of the standard headaches I see over and over in software companies."
insensible,"on Aug 3, 2019","> From tax-accounting software to computer games, some software is not suited to give to end customers when partially finished.The original Extreme Programming project at Chrysler was a payroll system, so many strategies for handling things like this have been thoroughly discussed in literature and forums in that community."
abalone,"on Aug 3, 2019","The main gripe I have with this analysis is it weds the short-term sprint cycle with customer exposure & feedback. It then argues that, well, we can't let customers change their minds every two weeks and Big Serious Things take 20 months to get working so this is just for like web contractors and stuff.I don't see agile as exclusively requiring you to expose everything you do to your end-users as you make it. I get that it can accommodate that if that's what you want, but the real essence of it is about de-risking a project by breaking things down into shorter milestones.Do you remember those Microsoft Press software management books? So good. One point was ""Beware of a Guy in a Room"".[1] Which is to say, don't let developers shut their door and go dark for months at a time without surfacing with something working. It can take a bit more work to adapt a big project into smaller ""working"" milestones and seem silly and inefficient, but in the end this helps avoid a lot of risks that can lead to deathmarches that can truly kill a project.One way to adapt the ""customer"" aspect of agile is to not have an actual live customer but rather a ""voice of the market"" that the product manager represents. After all, you do want to empower them to course correct because the world can change over 8-20 months. This applies even to BigTable.[1] https://blogs.msdn.microsoft.com/david_gristwood/2004/06/24/..."
gumby,"on Aug 3, 2019","Agile was specifically designed for consulting teams /projects. Outside that its applicability drops.Different tools for different tasks. Neither a screwdriver nor a hammer is nonsensical, though using either in the wrong application is."
curtis,"on Aug 3, 2019","If your software development organization can't ship software without an agile process, then it's unlikely that it can ship software with an agile process either.I'm not saying that agile processes are inferior or even no better than other software development processes.  I'm just saying that there is some level of fundamental capability that a software organization must have before the process is even going to matter."
CivBase,"on Aug 3, 2019","> much of the work is not even visible to “customers”, so there is no way to write customer visible stories about itIf your work doesn't have a customer, why are you even doing it?The customer doesn't have to be the business's end user.  The can be another team or even your own team.  Someone must benefit from the work or else the work should not be done."
eklavya,"on Aug 3, 2019","I am sometimes amazed by our industry. Somebody comes up with a solution to a problem and then someone else starts applying it before they even have a problem. Sometimes people ignore what mistakes/challenges others have dealt with and win/lose their own battles. So many times, people just say X does/uses it as some kind of validation or guidance. Well, if your business is also like X, great, you are learning from other people doing the same thing. Otherwise why are you looking at X and not ""your"" challenges, resources and opportunities?There is just too much religion here :)If you need it use it, if it works, great, if it doesn't or you don't need it, move on. The only advice I would give to people is that there is no rule book or the good way. Use your brain and pick up things that work."
tarsinge,"on Aug 3, 2019",The corollary is that for everyone else working on solving business problems in non-software industries (coincidentally there is a related discussion from today https://news.ycombinator.com/item?id=20599190) the principles are still perfectly sane.In that kind of environment it doesn't lead to short-term thinking because a long-term business vision can exist independently of how a software solution is implemented.Edit: removed the bit about Google being an exception.
dehrmann,"on Aug 3, 2019",> Companies like Google write revolutionary software which has never been written beforeAlso a lot of video chat apps.
keanzu,"on Aug 4, 2019","""The word 'agile' has been subverted to the point where it is effectively meaningless, and what passes for an agile community seems to be largely an arena for consultants and vendors to hawk services and products."" - Dave Thomas (Manifesto for Agile Software Development author)https://pragdave.me/blog/2014/03/04/time-to-kill-agile.html"
Demigod33,"on Aug 3, 2019","> Developers should create a Google Design Document (a fairly minimal, but structured design doc), explaining the project, what goals it hopes to achieve, and explains why it can’t be done in other ways.Does somebody have more on this? I'm never sure how to structure my design documents, how does a Google Design Document look like, is there a template somewhere on how to write one? This would be super helpful, please."
cameronbrown,"on Aug 3, 2019",Golang has some examples of good design documents:https://go.googlesource.com/proposal/+/master/design/go2draf...
username90,"on Aug 3, 2019",Chromium project has a template and a lot of docs you can use as examples. They can be found here:https://www.chromium.org/developers/design-documents
grok2,"on Aug 3, 2019","Anybody doing Agile/Scrum know how it deals with people issues? It seems like with these practices everyone is on a tight leash -- how does it deal with the fact that real people have a natural ebb and flow in their concentration levels at work or interest in work. If your are scrumming all the time, how do you get slow periods in your work cycle so you can recharge (aka slack-off :-))?"
InvOfSmallC,"on Aug 3, 2019",I work with agile and have 20% of time for personal stuff I want to try/study. Every week.
grok2,"on Aug 4, 2019","Integrated in your work-load officially? That still doesn't explain stuff. Scrum-masters, please weigh in...thanks!"
somegoogler9876,"on Aug 3, 2019","First, I disagree with the author's post that all software developed at Google is revolutionary low-level technical infrastructure. But that's not the only type of software development that benefits from avoiding the productivity tax that agile imposes.There are teams at Google that look to use agile methods. E.g. I see standups, there are internal tools that track sprints, etc. I think these are mostly front end teams.I've never worked on front end but was on a team that used scrum at a previous job. I hated it. It seems like a huge impedance mismatch for my kind of work.I'm guessing some consultants sold management on the miraculous benefits of scrum at my previous job, they like the snakeoil they were sold and forced scrum on everyone. The amount of overhead process it brings is an enormous tax on productivity.Some people call this ""corporate scrum"" to try to distinguish it from real scrum. But this feels like a No True Scotsman fallacy. Why is it so damn hard to do ""real scrum"" and actually get the productivity benefits it promises? I've never met any SWE in real life who has tried scrum and liked it.At Google, the development process is not just ""develop 10000 lines of code on their own"" like some posts here have imagined. There is typically a design phase that gets wide buy in, and then code reviews, and extensive testing every step of the way during development. This feels far more realistic as a process.And it is NOT some ""waterfall"" process which only seems to exist as a strawman for agile consultants to knock down. There is no architect who designs the code and then hands it off to code monkeys to go implement exactly as written. That's ridiculous and now how software is written anywhere as far as I can tell.If I were to answer the question in the title myself, it's that Google has allowed engineers to build a process that works for them, and they almost never pick scrum or other agile methods."
dandigangi,"on Aug 3, 2019","That top rated answer is excellent.Agile at its core, to me as an engineering manager, is:
- People over process/tools
- Plan-able execution and pivoting quickly in rapidly changing environments
- Create consistent, repeatable work delivery
- Retrospection, learning and iteration over time
- Tools (can) support the process to multiply efficiency but do not solve the core goals and problemsLike the author of the comment said, the details of how you execute ""agile"" is where things get bumpy for teams."
streetcat1,"on Aug 3, 2019","The problem with agile is that it is a greedy algorithm. It can lead you to local optima. 
Usually this is not an issue if you are doing contract work,However, if you try to create a product in a market with competition, a non agile competitor can reach a global optima (for example Apple vs MS in mobile phones), and than you will lose the market (and sometime your future)."
tootie,"on Aug 3, 2019",I would speculate that this philosophy is so far removed from the customer that it's the reason they deliver so many consumer-facing duds and exhibit a completely schizophrenic product roadmap in so many verticals.Amazon is relentlessly customer focussed and is now a veritable hit factory And mostly in industries that were already seen as mature.
thewileyone,"on Aug 6, 2019","The worst part about Agile is that non-technical technical managers that I worked with, convinced the non-technical business managers that using Agile would lead to more and better innovation.  And that's how they got training and pseudo-experience to pad their resumes."
lkrubner,"on Aug 3, 2019",N/A
breck,"on Aug 3, 2019",> Simplicity - the art of maximizing the amount of work not done - is essential.Interesting definition of simplicity.
rightisleft,"on Aug 3, 2019",a friendly reminder that your company is not google... unless you are at google
lasthacker,"on Aug 3, 2019",N/A
amsheehan,"on Aug 3, 2019",We don't
m0zg,"on Aug 3, 2019",Nobody can explain it better than Yegge: https://steve-yegge.blogspot.com/2006/10/egomania-itself.htm...Worth a read or two if you want to be cured of the Agile affliction.
PasserBy2022,"on Aug 3, 2019",N/A
cyknus,"on Aug 3, 2019",">I would caution against trying to paint ""developers at Google"" using broad strokes."
malvosenior,"on Aug 3, 2019","There's a lot of irony in saying that about ""developers at Google"" and then immediately turning around and classifying everyone else as ""the masses"". Talk about broad strokes!"
jsolson,"on Aug 3, 2019","Beyond the literal fact that ""everyone"" is undeniably a giant mass of people, I suspect this term was intended to mean ""to consumers"", particularly given that the following example calls out enterprises.Developing for a small but demanding set of enterprise customers with concrete (but sometimes arcane) requirements is a very different problem from developing for consumer markets."
wutbrodo,"on Aug 3, 2019","Can you elaborate? I'm not sure I see any connection between generalizing about every member of a group, and using the term masses."
tomc1985,"on Aug 3, 2019",It's an overzealous interpretation of a common manner of speech. Muckrakers...
empath75,"on Aug 3, 2019",That’s not a derogatory term.
reallydude,"on Aug 3, 2019",N/A
wutbrodo,"on Aug 3, 2019","> If treating a large group as a unified actor is improper, then giving another group another label and doing the same thing...because it's that group is in a different classification, is also improper.I think this is the logical leap that people aren't understanding. Generalizing means assuming things about individuals based on their group membership: OP wasn't saying it's a moral failing, but that it leads to inaccurate assumptions when applied to the heterogenous group in question.What's the analogy to using the term ""the masses""?"
reallydude,"on Aug 3, 2019",N/A
caconym_,"on Aug 3, 2019","Is ""the masses"" offensive?"
solidasparagus,"on Aug 3, 2019","It's a phrase that tends to be used by people who consider themselves superior to 'the masses'. The phrase refers specifically to the lower-classes or those outside of elite circles[1]. Combined with Google's reputation of quiet arrogance[2], it's a phrase that I would have avoided.[1] Pick a dictionary and you will find references to lower-classes, the not-elite or the common people. https://www.merriam-webster.com/dictionary/the%20masses https://en.wiktionary.org/wiki/masses#English https://www.vocabulary.com/dictionary/masses[2] Put in to words nicely here https://medium.com/@steve.yegge/why-i-left-google-to-join-gr..., but you can feel it in many of Google's products where they make all the major decisions because they don't believe users are as capable of making good decisions as Googlers."
tomc1985,"on Aug 3, 2019","You should probably chill with that. It's used by all sorts of people and does not reflect their feelings towards ""the masses"""
will4274,"on Aug 3, 2019","No, but some people are sensitive. I suspect most Google developers consider themselves part of ""the masses"""
mnd999,"on Aug 3, 2019",I’m not sure that’s true
malvosenior,"on Aug 3, 2019",N/A
yRetsyM,"on Aug 3, 2019","I read the masses as anyone but he development team. Who's to say that the masses doesn't mean Googlers? It wasn't categorising anyone aside from being ""everyone else"" as I read it"
