Author,Author Description,Publication Date,Votes,Review
Anonymous,8y,2016,4,"My apologies for posting anonymous but I would definitely get some trouble publicly criticizing our project management if this was showing my name.
The trouble I have seen with agile is that companies, at a high level, hear about this great methodology that will have them developer faster and more reliably which sounds just amazing to them. So they tell their development teams and project managers that they all need to start being agile. However, none of the executives and project managers are willing to let go of the metrics, measures and assurances that their older methods had. They want the project to better meet the client’s expectations but they won’t relent on agreeing to every specification in detail before development starts and they won’t agree to changing the requirements as the project progresses. They want estimates to be better but they won’t agree to start development until every task is broken down and estimated.
They want the benefits of agile without giving up any of the processes that they are comfortable with.
In our current agile methods is that there is nothing agile about them at all. Officially the project managers tell the world we are agile but the reality is we are working on a waterfall method with review meetings every two weeks. The client and business analysts design the specifications to exact details before hand, estimates are given, a release date is agreed to and a contract is signed all before any development begins. Once development starts we can’t change the specification without going through a change request process and testing is all done at the end. The only things we do that makes people believe we are agile is (1) we have a meeting every morning and (2) we have a review with the project manager every two weeks.
People here say they don’t like agile and that agile doesn’t work but the truth is they don’t know anything about agile methods."
Walt Karas,"Software Developer, https://wkaras.github.io/",2016,4,"Software development is a practical activity. Practical activities are activities people expect concrete results from. Software helps you do concrete things, like drive your car or pay your bills online, not nebulous things like improve your general sense of well-being. Principles that help you do practical things should be falsifiable. This is an issue with many methodologies, not just Agile. Agile says you should have a backlog of features, and work on them from high to low priority, and just get as many done as you can in each sprint. No pressure. Since the USSR no longer exists, it would be hard to find an organization where you could strictly follow this principle. Usually, you have lots of high priorities, and you’re trying to guess which ones you can put off without going out of business. You rarely get to work on anything that seem “optional”. Sí pressure. So, whatever goes wrong, your Agile consultant making 3 times as much as you are can always say “well, what do you expect, you’re not following the rules?”. Agile always works, because, in practical terms, it’s impossible to say it doesn’t.
Maybe we should keep our floaties on and stick with methods for now:
Don’t just sit there. If requirements are murky take your best guess. No matter how much throwaway and rework results later, you won’t get less done than you would have doing nothing. Do the OO thang and try to make components that make sense free standing and could perhaps be reused in other efforts.
Writing stuff down about what your doing and trying to do is basically a good idea. Lists of somewhat free-standing points (like this one) are generally more helpful than long paragraphs. If you don’t have tools to make flashy fonts and graphics as easy as making stuff that looks like IETF RFCs, then make stuff that looks like IETF RFCs. Slides that don’t say much of anything without you standing next to them saying what they say are of very limited usefulness.
TDD is generally good if you’re not anal about it.
If experienced team members want to dive into the details of something they anticipate is high risk, let them. That’s often the best way to anticipate and mitigate delays and the need for more resources as early as possible.
Lets not try to rush the day when we’re truly ready for the methodology deep end."
Peter Trudelle,30 years in the bit mines,2018,4,"They hate Agile because their leaders inflicted a project management paradigm on them, and called it “Agile”."
Kostya Stepanov,Founder at Shakuro (2019–present),2022,1,"I think the biggest problems is client’s distrust and dissatisfaction with communication when going agile… When outsourcing, a customer never has full control over what’s happening.
Successful communication increases the probability that a client will be fully satisfied with the final product. It soothes the nerves, creates friendly working relationships, and gives more freedom to a developer.
Building trust is key to regular clients. And that means more profit, reputation, and glory in the end.
These methods worked for me:
Show your client how to work with you
Through smart onboarding and communication guidelines.
It’s very important to clarify what to expect from you after they hit that “send” button. Ideal onboarding provides answers to 3 key questions:
What services do you provide (in details)?
On which principles do you provide those services?
How exactly can your services be useful to a client?
Set realistic deadlines while managing an agile project. Set achievable goals. Communicate with them in a believable way. Teach employees how to deal with clients’ objections and comments.
Update product roadmap
Getting the roadmap right from the start can save time and resources in the future, but development is tricky, and sometimes adjustments are necessary, especially in agile projects.
If you’re adding tasks to your backlog, will the final look change? Will the project help with some other client’s problems, other than the ones you discussed in the beginning? If the answer is yes, update the roadmap. Keep it current and make sure the client knows about it.
Don’t let your perfectionism get the best of you. Being on schedule is more important for a client than introducing new features.
It’s not just sprints and scrums
You should regularly have 2 types of meetings with them: vision-alignment meetings, and retrospective meetings. Schedule them after you finish several sprints.
Vision-alignment meetings are the ones where your team and a client can reassess the state of a roadmap, offer changes to its timeline and budget. When working on an agile project with a client, help her or him make sure that:
A project is heading in the right direction.
There is a unified vision of the final product.
You solve the occurring difficulties before the stage of project delivery.
Retrospective meetings are the ones that allow us to discuss the existing state of affairs. What works? What sucks? That kind of stuff. They are also a great way to receive positive feedback: recognition of teams’ merits by others.
You can see more about my agile methods in my free article on shakuro.com."
Patrick Butterly,Software Engineer,2017,3,"WOW lot of answers! Ill add my own because I dont see it (although it might be there somewhere) the answer is very obvious when you look at it though.
AGILE IS NOT WELL DEFINED!!!!!
People advocating agile will go to great lengths if it isn't working to tell you your doing it wrong. Bottom-line is agile is a abstract concept with loose implementations hat focus around a center theme of “if it isn’t working for you change it”.
Management see it as a fix all but focus on moneymakers and demand deadlines and estimates(for obvious business reasons), this makes it anti-productive and frustrating for development.
Basically a buzz word in the management realm everyone has to use but more often than not wont relinquish control over the process reducing it to time wasting nonsense.
and my answer ran on longer than intended…."
Adrian Olszewski,Principal Biostatistician & Statistical R Programmer at 2KMM,2017,4,"Personally - due to pair programming. I hate working on my code with someone who interrupts me. I like thinking and coding completely alone. Secondly - I don’t like working on someone’s else code (doesn’t matter how easy to read it is) and I don’t like others touching my code. I accept and appreciate code review (to make my code better), but I don’t accept others to modify my way of thinking. Thus - I don’t work for companies where Agile is employed. It doesn’t mean I don’t appreciate Agile as a smart way of making life easier and product better. It only doesn’t work for me."
James Simpson,CTO | Sydney Australia | www.analyseIT247.com,2016,3,"There are reasonably common things that developers don't like such as:
sustained pressure to work long hours to meet deadlines that they don't subscribe to
being asked to provide status and updates too frequently
being part of a team that is trying to fill expectations that are not realistic
not having the time to develop at a level of quality they feel is ""good""
the need to create reports or communications that feel ""artificial""
You can achieve these things with almost any methodology including Agile. I think it's helpful to look at the root causes behind the points above in a given environment to understand why developers are unhappy. Not always, but often, it comes down to a combination of management values, culture and expectations.
For example: if a point of authority in an organisation holds the value that it is okay to achieve an aggressive goal by simply pressuring people into doing more than they think they can do, and they do this repeatedly, you run the risk of seeing some of the unhappy symptoms above. It doesn't matter which methodology or framework you use.
A particular challenge with Agile is that the way in which it is communicated often promises a lot. And it seems to promise more with each retelling / reselling. This is where it can be helpful to separate the set of ideas called Agile, and the set of expectations created when groups buy into a quasi-product called Agile. Or Scrum. Or Waterfall..."
Jasmine Noack,Software Engineer,2016,3,"I work in an agile shop and a lot of people like it, but there are things we all hate about it. Here are two big examples from a conversation last week:
incremental: Just because you say the word incremental doesn’t make the project smaller.
iteration: Sometimes people mean do a shitty job and you can fix it later.
The problem isn’t agile it’s people who act like agile is some kind of magic bullet. It’s not. The work is just as hard as without agile, it’s just organized differently."
Eric Larsen,Former Computer Engineering Silicon Valley (1980–2011),2019,2,"Toward the later stages of my 30+ year programming career, Agile was introduced at the company I worked at. It was a large Silicon Valley tech employer. I do not recall any engineer who disliked Agile. Not everybody was enthusiastic about it, but there were few objections.
There was management overhead, but it was not much better or worse than the previous processes.
The best part of it for me was that it seemed to limit the amount of pain we were subjected to. In the previous system, we would work for about 6–9 months, get behind schedule, the managers would panic, and we would be in for 2–3 months of crunch mode, cracking of the whip, the captain wants to go water skiing, whip the slaves, pull on the oars, nights and weekend work, etc. etc. etc. etc.
With Agile, there might be some pain and agonizing re-appraisal, but it was every two weeks. We get a new plan, try again. If we fail to get things done in two weeks, it becomes visible. It does not get hidden or covered up for months, then finally exposed, and we all get a blowtorch applied to our ass.
I thought it basically worked, I do not know of a better way to manage. There were problems, but it was due to lack of understanding of the team on how to effectively apply the methodology, not anything wrong with the methodology itself. There is no management technique that can compensate for large scale wrong technology choices, lack of programming competence, or mitigate the difficulties caused by dividing a project across time zones, or hiring people who speak different languages."
Rudrangshu Das,"Like to code, love to observe coders.",2016,3,"My 2 cents. 2 disclaimers to start with.
First I have worked in the IT services sector for my almost 10 year long career. Although I have developed enough products for my clients who were product development companies, but I always worked as their vendor. So my view is from that angle. Secondly I will comment on SCRUM as I know of Agile as SCRUM, I am not aware of any other models.
SCRUM in my experience is a model promised to project/product managers or Upper Mgmt in general that makes their team efficient and productive to the optimum level. Most upper mgmt believe in this advertising and go for it. So they often extrapolate this advertisement to mean that a product/project that has been estimated to take 6 months by the architect/developers, the techies can be done in 3 or 4 months if we follow Agile. Even if people don't say this openly I feel this is what they think in their heads
I don't need to explain how unsound that logic is. So often the seeds of discontent is sown early among the developers because they feel they are going to be overworked and the mgmt doesn't trust their judgement.
Now coming to the practical problems I have faced in working in a scrum model.
1) Onshore - offshore development model. I don't know what is the right way for doing sprint planning and daily standups in an onshore offshore model is. But I can comment what I have seen in several of my projects. There is 1 common planning meeting and 1 common daily standup for both onshore & offshore. It doesn't matter if the team is large or small, there is always some communication gap between onshore & offshore. The offshore invariably plays catching up to onshore in terms of requirement and design changes & the vice versa happens in terms of work progress status. So a daily standup call drags on to an hour or sometime more because instead of just work updates we are now discussing requirement changes which were not communicated to offshore before. Now the meeting was scheduled at a time that was conducive to both onshore & offshore. That means start of day for some and end of day for some. For the one whose day is going to start after an hour long meeting in which I spoke for maybe 5 mins, I am already put off. It will take me at least an hour, a cup of coffee, a bit of random internet browsing before I get mentally prepared for coding. For the one who ended the day with such a meeting, I am kind of in a foul mood because I feel I could have gone home early if not for this damn meeting. On the top of it if there were changes in the plan for tomorrow, I can't help but think about it on my drive home although I try my best to shutoff my mind from work at the end of the day.
2) No product/ project plan is perfect at the start. No software design is perfect at the start. There are always unforeseen changes sometimes forced by the business, sometimes forced by technical challenges and non functional requirements. I feel SCRUM makes it harder to accommodate changes. There is always an obligation to plan some work for everyone every sprint. Sometimes its not possible. Sometimes a task is too big to be broken down into chunks that can be done in 1 sprint. But a strict adherence to sprint plan sometimes leads to doing something while fully aware that the work is going to be discarded in a subsequent sprint due to a design change. This can be very annoying and I have faced this multiple times.
Having said that there definitely are some advantages to SCRUM. Productivity is one of them. Developers waste less time if they have to report a daily status. I am trying to think hard about other advantages right ñow... Sorry nothing.
I am a developer ao whatever I wrote is from a developer's standpoint. My view could be narrow and myopic."
Warren Wise,Works at GL Homes (2018–present),2016,6,"An agile approach to software development requires focus. Some developers have difficulty focusing, so they need distractions; otherwise, they’ll get bored. Even though there is information and studies that say multi-tasking slows you down, they need to multi-task, or they’ll be miserable.
Another thing agile development requires is that developers and stakeholders (customers, users, SMEs, managers) work together. Many organizations are structured like silos of mistrust. It’s painful to work with people who don’t trust you, who think you’re incompetent (just because they don’t understand your job or work) and who are disinterested in how their activities impact you.
To be good at agile software development (or at anything at all, really), you need to practice. You need to get better at designing systems, testing, and using your programming language and its libraries. You need to learn different programming languages, programming paradigms and design methods. You need to analyze your work and performance to find weak areas, then find resources (books, training, mentors, user groups) that can help you develop mastery. There are many programmers who are in it mostly for the money. They don’t really like programming enough to try and master it, only enough to not get a bad review from their manager during the performance appraisal process. Agile methods require continuously improving your team’s ability to deliver high-quality software. For someone who’s capable of software development, but who wouldn’t do it as a hobby, all the effort spent figuring out how to be better as a team can be a serious drag.
One last thing I’d like to mention is that it seems to me that a fair number of companies adopt an agile methodology under false pretenses, for the wrong reasons or with a lack of understanding of how agility works. I know a company whose IT department convinced the organization to adopt Scrum for the standard reasons, but one of the IT Architects told me the main reason was so that blame could be placed on the business when things went off the rails, since in Scrum, someone from the business (the Product Owner) is responsible for prioritizing work, and all stakeholders have an opportunity to attend a demo of the software before it’s realeased. If business leadership complained about the software that was released, IT could then simply say they delivered what was asked for and released what was accepted by the business, so it’s not their fault if users don’t like it or it’s not useful.
I find it difficult to imagine that any developer would be opposed to a way of developing software that: valued their knowledge, skill and judgement; gave them frequent feedback on the quality and impact of their work; made the resources they needed to deliver valuable software readily available; gave them time to consider multiple options, and to reflect upon and improve the quality and efficiency of their work. I think developers hate agile methods the most when the company or team in which they work doesn’t value the culture that makes this possible, yet they expect to see the fruits of such a culture. That inconsistency between organizational culture and organizational expectations creates one of the worst feelings in the world of work."
John Wright,8y,2016,3,"Agile is a bit like nailing jelly to a wall.
When people complain about sprint pressures, velocity etc Agile devotees say “Well, that's not really Agile”
Agile gets a lot of kudos with more senior management because it either offers faster delivery or exposure of issues earlier. Done right it can deliver both.
Unfortunately, Agile still needs people and they often lie, bluster and prevaricate. This leads to inaccurate solutions that need rewriting and reworking. People will just throw in a library they found to get the job done quicker rather than question whether it's the right thing.
Agile is the best methodology if you have a perfect setup. Failing that you need a sensible mixture of Agile and Waterfall: plan, report, estimate, report, develop, report…"
Stephen Johnston,web dev for 20+ years.,2016,3,"In a nutshell: It’s not a project management paradigm, but everyone thinks it is.
The project extends beyond the sprints and team dynamics. Agile, in general terms, deals with the team dynamics to deliver units of result and to some degree units of work. The project is many units of result (vs work). I’m using some traditional terms differently than usual to make a point. A project, the agile thinking, encompasses many results (outputs) from a team. The team organizes in an agile manner to create those results with their work."
Tarasekhar Padhy,Engineer,2021,1,"Because there is a huge difference between “doing agile” and “being agile”.
doing agile: Developers are forced to do standing meetings and send each other detailed EOD status reports even though it could be a simple conversation or a message. Agile requires each of the team members to be on the came page and status reports are a great way to do that but if there is a better, easier and a hassle-free way to do it, then adopt that. Agile suggests whatever works, use it. If just a text message or something is enough to update everyone in the team, then these “orthodox practices” are not necessary. It just clutters the inboxes and calendars of the developing team.
being agile: Create a strategy, build a small part of the product, test that small part, get reviews, pivot or persevere. In a nutshell, that is what being agile means. Being reactive to external changes and adopting the course of development as necessary is the soul of agile which the management has successfully crushed. True agile is a state, not a process that you follow or set of predefined rules you abide by. The rules and process are developed along the way based on what works and what doesn’t.
principles>practices: most of the organizations have created a set of practices, steps, rules; that the developers need to follow to “do agile”. This entire belief system and theory is against agile’s core values and principles in the first place. The practices to “be agile” should evolve along they way and the way to be at the right place is to understand the core principles of agile truly.
only coding is agile: I believe this is the most prevalent one. If the marketing strategy, distribution strategy and management operations are conducted in a non-agile way, the effects will not be visible at all. In fact, just making one phase in the entire process of product development is detrimental to the overall process.
There are many more reasons for which developers despise the version of agile that they are forced to follow. We have a free eBook that suggests how agile can be applied to any workflow, true to it’s principles:
Understanding Agile for eLearning - Free eBook for download - zipBoard
A free eBook which will help you understand the challenges in the eLearning industry and how Agile could just save the day.
https://zipboard.co/understanding-agile-for-elearning-free-ebook-for-download/?utm_source=quora&utm_medium=social&utm_campaign=Outbound_quora
Do check the eBook out and let me know how it is. I also feel that if agile can be applied in the software industry and also in the eLearning industry, it can be applied in most of the industries. The answers dropped by fellow quorans are also quite informative as it helps me understand what is actually wrong.
The reality of the matter is, most of the development teams have adhered to “fake-agile” instead of real one. Besides, if you feel that agile is not working for you, drop it because that’s what the principles of agile also point at!"
Michael Walsh,Works at SAP Concur (product),2016,2,"A lot of developers dislike Agile because instead of being agile it can be used as a magic Process which will fix everything by adding more meetings, doing away with any sort of design concepts and allowing management to change direction 300 times a day so no one has any idea what they are doing.
Then everyone gets yelled at because they missed their ‘sprint goals’.
Agile done right can be wonderful because it improves communication between teams and prevents the ‘you designed it wrong’ 2 years after after starting the waterfall. Agile done wrong can be a great way to line the pockets of Agile Consultants and stress out the developers to the point of quitting.
YMMV."
Alysson Melo,Computer Engineer passionated about start-ups,2016,3,Using Agile you can makes fast anything. The key to improve your product is make the right thing after that you make faster. So in agile sometimes you dont have time to collect the feedback of your last sprint with your final user and other stackholders because you are already doing the next sprint. So you start doing the next Sprint without feedback and if you are on the wrong way you will spend a lot before to discover it specially if you have big cycles like 4 weeks Sprint. Your final target is improve your learning speed about your experiments and yor product. After that you improve the product delivery speed.
Richard Leddy,Have been programming computers more than 35 years.,2016,2,"The picture that James Grenning has looks like a club of past managers I was assigned to. Being that I would rather spend most of my time with attractive young women, you can imagine that I did not get along with many of my past managers.
That said, the time that I had a fairly good experience with something like agile was a long time ago. I don’t think the term was invented yet as a name: ‘agile’. We had an issues burn down list that was a FileMaker Pro application that this kid did. The director of marketing and I could war over issues by reseting their priority. This process almost became emotional. But, it worked well to produce quality product.
But, what about the sprint stuff? Well BS BS BS. In fact the first thing I did was create a design for software that allowed a more well defined creation of unit. The software design was something that I threw at this little consulting group and they let me run for a few weeks making it. I made a byte code interpreter of a sort of task language that I made up. The program compiled and ran the language. The task language was made to work fairly well with the unit descriptions from a content team made up the marketing director and an education planner. So, I could translate the planner’s scripts into the language and compile with medial elements in place. The project manager, a seasoned instruction video developer tract my progress with the first unit made according to the method. He wrote it all done with pencil on a blank piece of paper, which he kept in a manila folder. He kept note of my time on pieces, and then told me about it later.
Then, we did sprints for a unit at a time. This involved making video, doing voice over, flying in people from around the country for talking head videos, placing the media, making the script, compiling and integrating into the final product.
As the units were integrated, the head of marketing and some media boys checked for issues and filled up the priority list. I tried to put plumbing ahead of cosmetics. The others seemed to like cosmetics more. Things came off the list as short time wins, set aside projects, fix media, fix the platform, etc. Short time one were like opportunistic wins. Others, got schedule by priority. Priorities would change when for team members in and out of the work space as well, for resolving issues they had prioritized and could communicate about.
So, the burn down was more a final phase process related quality and show stoppers. At that point there were fewer new units, and at the end no new units just weeks before release.
The process was fairly high pressure for the small group. But, good product came out.
The point is that SCRUM or agile was not applied for the whole project. Sprints were not applied for the whole project. These things were used when the had to do with the progress that fit with them for the part of the project that needed them. Bigger parts of the product were not scrum items. They were definite chunks or sub projects.
Another point is that innovation was needed to create an assembly process. And, the assembly process was subjected to the predictability of a sprint.
Another point is that the team cooperated and argued (at times with fervor) over points using a system for prioritization. And, that system was simple enough we could do it with a home brew DB.
I have been in shops that make the agile thing not be agile. And, the buy overblown expensive “agile” systems with all kinds of reporting features to set up a long list of poorly defined tasks. Some people on the teams associated with these crazy task lists take it seriously, especially the scrum masters. Others stand in the scrum circle and make bad jokes.
And, yes the scrum masters figure out how to use the big “agile” system to plan out political vendettas by making management think a guy is a slacker. “We’ll just split that task and move it to the next sprint. Whadya say?” BS BS BS. (Don’t give the scrum master a gun. )
So, basically, agile when used as it is in the formal way over long periods of time is probably BS. But, a crowd of “Hill Billies” can make their own business process and make it work, although the didn’t know the prescribed way. They only knew the way that worked.
One of these days I’m going to get a bunch of funding for a tick tack toe game. I’m going to write it using Hadoop. And, I’m going to buy Jira and hire a bunch of scrum masters dressed just like the guys in James Grenning’s pictures to work the Jira system and report to the investors about my progress. That would be just like working for a fortune 500 company. Anyone want to be on the project with me?"
Michael Burrows,12 plus years as a contract software developer.,2016,3,"Because corporate America is much like the military in that it wants everything codified. The idea behind this kind of thinking is making every input(employee) less important than the process. The traditional thinking is that depending on process gives more consistent results. The results might not be as good as relying on talent but that reliance can come at the expense of consistency. While that kind of thinking is reasonable from the business perspective it can conflict with some programmers mentality. Many if not most programmers started programming because they are oriented towards creating things not completing checklists. The idea of working an assembly line gives many programmers night terrors. “Agile” for many programmers can feel like working an assembly line.
Numerous people smarter than myself sing the praises and sins of various methodologies so I won’t argue for either. I’ll just say that I don’t see “agile” disappearing from the landscape anytime soon so programmers will have to make the best of it."
Dmitrii Medvedev,Software Engineer (C++),2016,2,"In short?
Agile == feature creep. Feature creep is bad."
Jugdesh Mirwani,Systems Engineer,2016,2,"I don’t like Agile because use of the method is not intuitive with success. It all relies on having a strong person acting in stakeholder role that is proactive in communicating and participation in every aspect of the process. This person must be be able to be held equally or more accountable for end deliverable as compared to development team.
We have all worked with business focals that have been assigned this task that will do this passively and just lay the blame on the development team when the end product is not what is expected. I have had success in such engagements because I can either anticipate or translate the stakeholder requirements in to a workable product based on industry standards.
Leadership can come from anyone working on project from Developer to Lead Developer. Basically you need someone that has worked in environment with a lot of governance process that knows what elements of governance is required while keeping track of that in his or her head rather then with formalized work product.
If nobody is doing this then all you are doing is development by the seat of your pants on the fly and dumping the cost of lost quality of the rest of the support lifecycle of the product.
I would not say never use Agile in favor of alternative. The answer is never to Agile in when inappropriate. I would avoid for commercially distributed software. It is the worst when development team is in vendor relationship. Most SOW/DOU in Agile Arrangement are dollar paid for any hour worked. They have no incentive to produce a quality product on the first pass so they can bill you over and over for rework."
Steven J Owens,Lazy Coder since way back,2016,2,"A great number of reasons, most of which have nothing to do with agile development.
A lot of people talk about agile development, but don’t actually do it.
A lot of people misuse the term agile development (the same sort of people who use “refactoring” to describe any rewriting of code).
A lot of people simply do agile development half-assed (see “We Tried Baseball and It Didn’t Work” by Ron Jeffries, We Tried Baseball and It Didn't Work).
Agile development is demanding; the XP folk, for example like to refer to XP as “low process, high discipline”, the point being that you can get away with a lot less process (and thus a great deal more adaptability) if you hold yourself to a high standard of discipline at several levels. On the low/day to day/hour to hour level there’s using test driven development consistently, using refactoring properly, etc. On the higher, more strategic level there’s staying committed to your iterations and to concepts like velocity and the planning game or whatever else you use. There is a constant temptation to skip steps or cut corners.
Some aspects of agile strike people as weird - pair programming for example, can be incredibly effective, but it freaks people out.
Some aspects of agile are hard - to use the same example, pair programming is a skill, it takes a not-insignificant investment of time and energy to learn to do it well.
Many aspects of agile are useful and effective, but any given aspect or approach to agile doesn’t necessarily fit every project - agile proponents were the first to say that “one size definitely does not fit all”."
Alfredo Alvarez,QBasic -> C++ -> JAVA ->C# -> Python ->C# With html and javascript sprinkled,2020,1,"The big problem that I see is that a core requirement for agile to work is great communication skills and negotiations.
These are only really available on highly experienced teams in which the members have been coached on both technical and soft skills.
When you add product creation support staff (product/QA/QE) they need to be really familiar with realistic expectations in order for this conversations to happen and be done within a short time. In 90% of the cases that is not the composition of the team.
So we are using a process meant for highly skilled and experienced team on neophites with some guidance. This creates a lot of friction and without communication that friction just turns into plain stress.
In my whole career I only think of the teams I’ve been has been fully functional inside agile and we weren’t really using scrum more of an XP team."
Sergey Ch,Studied Computer Science,2020,2,"A lot of developers dislike not the Agile but the Corporate Agile. These are two different beasts to my mind. Agile was created as a practice far better suitable to modern software development than Waterfall methodology. When requirements change many times during the development cycle you cant afford Waterfall anymore. Agile was created by developers as an aid to them.
the core idea of Agile is that everything is agile, also the Agile itself is agile and not strictly defined. You adjust the methodology according to the development stage of your product.
But when Agile is adopted by a large corporation it becomes stiff and embodied in paper business flow, like “you must standup”,”you must assess everything as a user story” etc. So Agile becomes mandatory, every step of it. I have known a corporation that went as far as requiring memorising the agile manifesto by heart and reciting it!
Agile as ideology and methodology was not conceived to be mandatory. All its steps are guidelines rather than something poured in concrete and steel once and forever. But this is exactly what it becomes in a large corporation. I have seen standups of more than 30 random people hailed in by the management because “Agile commandeth thou to stand up” and not because those people were somehow relevant to a standup.
Corporation is about procedures. And they must be mandatory because it does not work otherwise. But Agile requires that developers have a say in adjusting the application of the methodology itself depending on their project. the procedures of agile must be themselves agile and not biblical commandments to be followed blindly.
So lots of developers point out the discrepancy or sometimes outright foolishness of “bureaucratic agile” in large corporations but not the methodology itself."
Claude Wilbur,Programming computers for pay since 1978,2019,1,"A lot of good answers here. I particularly like the answers from Mr Grenning and Mr Green.
I will add a comment and an alternative. The comment is whatever methodology you use, it will not improve anything unless changes are made in company culture. This included everyone from top to bottom being willing to work in an unfamiliar way. Usually this means ceding some aspect of control and responsibility to someone else. Most humans are not OK this, developers included. If you read Winston Royce’s book, it seems reasonable enough. Yet Waterfall became a series of milestones that had to be met on schedule, with no back tracking to fix things that weren't quite right. If you look at books on the different methodologies which became Agile —XP, Scrum, DSDM, Crystal--they don't really advocate “iterations” which are fixed deadlines with no thought for the feedback and rework needed to do a quality job. Even if there were a proven silver bullet (look at some of work of Harlan Mills) it wouldn’t be widely adopted without being distorted to fit the comfort of “them” and “us”.
The alternative is something that was used in a company back in the late 80s. The idea was write the manuals first: tech manual and user manual. Each draft was submitted to all stake holders. Questions would be asked and the manual would have to be updated to reflect the answers. This would continue until all parties agreed that we had everything correctly described. Only then could commitments be made. During the process, developers could start doing any development task they wanted, but no delivery commitments were made until all participants were happy with manuals. Same for management, marketing, everyone. Everyone knew that whatever they did was tenuous and could be totally upended by the next edition of manual.
It worked surprisingly well. Not all was goodness and light, there was head-butting, wounded egos, and back-to-square-one. Nevertheless we always felt that each revision was forward progress, and the current state of the project was widely visible. Testing of the project consisted of evil people trying to show that the product was not as described in the manual.
We had two advantages the helped us regardless of methodology. One is that it was a small business (150 employees over two timezones). The other was that nobody copped out on their responsibility to answer outstanding questions. No “that situation will never arise”, or “surely no user would due that”.
I've no idea if this could be scaled up to the latest project at MegaCorp. To this day I feel pretty good about the final product. This is in spite of my present realization of the degree to which we were all naive, inexperienced, and ignorant."
Ilya Bibik,Author of the book - How to kill the Scrum Monster,2019,1,"They don't dislike Agile, they dislike what is presented to them as Agile. Agile often is not implemented correctly. Scrum Masters often don't have experience and clear understanding what they are doing. As result teams try to execute rituals that do not have a clear purpose in they context."
John Penney,Owner at PPP Milton (2001–present),2019,1,"We don’t. We just hate the Name, the meetings (which no one ever does correctly, so they’re not agile), the scrum master (who have 2 hour “scrum” meetings once a month) and the sprints (which take 5 months and never have any of the features of a sprint).
agile is the way I’ve always developed software. agile is the way EVERYONE develops software. it’s like science, which is different from Science. People who hate Science just don’t understand that it’s different from science.
Everyone loves agile, they just don’t know it yet."
Anupama Kasturi,Product Management Head at Jile,2018,1,"Developers dislike ‘Agile’ methodologies only when they are not practiced the way they are supposed to be.
In Agile; people doing the work make the estimates and commit to work. However this does not happen; managers make commitments and then thrust the same on the teams to commit to their timelines.
If Agile is practised the way it has to be then developers will love it because; because teams are at the centre; Focus for People :-
They directly understand the need, vision and goals and would hence contribute towards the right solution
They make estimates and commitment based on their capacity; they are empowered for the same
They are motivated as they focus towards outcome rather then output"
Thangaraja,"Lives in Chennai, Tamil Nadu, India",2018,1,"I will use scrum instead of agile as scrum is the subset of agile and it’s easy to understand
A proper scrum team consists of developer,product owner and scrum master. As per scrum, the developer denotes the person who is involved in building the product. So it includes software developer, tester. Product owner is the own who is reposnsible of maintaining backlog items, priotize stories. Scrum master is the one who helps the team for better interaction, resolve conflicts.
So why lot of developers dislike Agile?
Lack of communication. As per agile manifesto, business people and developers must work together in all the phases. Business people puts all their effort without consulting with developers prepare the requirements and send to developer. The developer rejects or asks for extra time to build it due to technical difficulties. Business people do not accept it as they have spent lots of time and effort. So this will be escalated to next level. Most of the time business people win because the company always put business first as they bring money.
Most of the business people either do not or don’t want to understand technology. So most of the time they underestimate the effort required for building something and it directly hits the developers. This is again due to lack of communication.
Misusing the principle and change requirements frequently . Agile is meant for welcoming change requirements. This is one of the wildly misunderstood principle and business people take it as granted. Business team comes with the feature, developer builds it in sprint-3 and then in sprint-7, the business team realize that this could have been done in another way. So the completed feature will be removed and build again in sprint-8. Same will continue multiple times.
Project managers: There is no concept of having project managers for agile. But sadly most of the companies still have. Due to inclusion of managers they except status for everything. Most of the time this will lead to frustrations. This point is applicable for all not just for developers.
Not giving importance to user stories related to technical improvements: Business people expects a feature to be released in every sprint. This will not always happen. Every software product needs technical advancement. Business team don’t understand this.
Not giving importance to testing/documentations: Testing and documentation are equally as important as development and these must be done along with development parallely. This will save lots of time during maintanence phase. But developers don’t get enough time to do this and when problem occurs they will be questioned for not doing it.
Its definitely not the agile which developer dislike but it’s the way the agile is misused."
